 	Area	Perim.
629	4	11.314
630	4	9.657
631	67	80.225
632	24	39.698
633	4	7.657
634	365	221.605
635	5	13.314
636	7	16.142
637	4	8.485
638	11	20.142
639	9	17.314
640	24	32.042
641	5	11.657
642	25	42.527
643	17	25.213
644	4	7.657
645	7	15.314
646	21	33.456
647	11	18.142
648	5	11.314
649	6	13.314
650	4	9.899
651	27	52.669
652	4	8.485
653	7	14.142
654	93	133.924
655	139	115.338
656	6	13.314
657	4	9.899
658	7	14.142
659	6	13.314
660	7	14.728
661	8	14.728
662	1736	612.247
663	7	14.728
664	5	11.314
665	5	9.071
666	5	10.485
667	36	55.255
668	5	9.071
669	4	9.899
670	5	9.071
671	20	29.456
672	606	395.914
673	4	7.657
674	28	27.799
675	4	10.485
676	13	18.142
677	4	8.243
678	9	15.899
679	7	13.314
680	6	14.728
681	17	24.627
682	9	18.971
683	6	13.314
684	1001	712.230
685	5	10.485
686	13	26.971
687	7	12.728
688	4	9.657
689	4	5.657
690	27	39.941
691	4	11.314
692	6	11.899
693	4	7.657
694	15	25.799
695	41	63.154
696	10	24.042
697	4	9.071
698	5	8.485
699	4	9.899
700	6	11.314
701	4	9.899
702	4	7.657
703	67	75.983
704	8	11.899
705	23	28.627
706	4	9.071
707	4	7.657
708	15	23.314
709	2453	565.436
710	5	8.485
711	7	16.142
712	8	19.556
713	5	11.314
714	7	13.314
715	6	12.728
716	60	88.468
717	33	40.527
718	4	9.899
719	4	7.657
720	10	21.213
721	5	9.071
722	9	18.142
723	11	14.485
724	4	11.314
725	87	110.752
726	5	10.485
727	4	8.828
728	8	16.142
729	6264	1039.516
730	4	8.485
731	5	9.899
732	8	14.728
733	4	11.314
734	5	13.314
735	5	12.728
736	4	9.899
737	6	11.314
738	7	14.728
739	4	8.485
740	4	10.485
741	9	23.213
742	1211	615.561
743	9	15.314
744	4	8.485
745	4	10.485
746	4	11.314
747	6	13.314
748	4	8.485
749	6	9.071
750	6	13.314
751	6	12.728
752	8	16.142
753	4	10.485
754	5	10.485
755	10	16.728
756	7	15.314
757	7	13.314
758	528	286.960
759	6	13.314
760	7	9.899
761	8	12.485
762	26	37.941
763	471	319.387
764	11	23.799
765	6	13.314
766	7	13.314
767	214	170.350
768	9	15.314
769	32	51.355
770	8	16.142
771	4	9.071
772	5	7.657
773	8	15.314
774	6	13.899
775	1069	382.642
776	4	7.071
777	10	14.728
778	4	10.485
779	5	13.314
780	4	11.314
781	6	11.899
782	6	10.485
783	5	13.314
784	6	14.728
785	887	236.919
786	4	7.071
787	4	9.071
788	49	52.669
789	226	105.196
790	11	21.799
791	4	10.485
792	4	11.314
793	5	11.899
794	7	9.071
795	6	11.899
796	5	9.071
797	7	12.485
798	4	7.071
799	46	58.083
800	4	8.485
801	4	7.657
802	4	7.071
803	4	7.657
804	5	8.485
805	11	17.556
806	6	14.485
807	4	9.899
808	5	8.485
809	5	11.314
810	4	8.485
811	8	15.314
812	23	36.527
813	41	40.527
814	5	13.314
815	5	9.899
816	8	21.799
817	33066	4040.466
818	6	13.899
819	5	8.485
820	44	69.983
821	5	11.899
822	4	10.485
823	4	11.314
824	1289	622.146
825	28	51.698
826	8	15.899
827	6	12.485
828	3327	668.632
829	28	39.113
830	5	11.899
831	4	7.657
832	109	118.066
833	41	56.912
834	4	8.828
835	9	18.728
836	5	8.485
837	5	10.485
838	4	7.657
839	4	8.485
840	4	8.485
841	4	8.485
842	12	24.627
843	4	10.485
844	156	215.605
845	13	25.799
846	4	11.314
847	4	7.071
848	4	9.071
849	4	8.485
850	5	10.485
851	4	11.314
852	117	81.882
853	4	10.485
854	8	14.728
855	19	24.627
856	7	16.142
857	6	12.728
858	9	17.314
859	4	7.657
860	11	21.556
861	8	17.314
862	4	7.657
863	13	23.213
864	4	7.071
865	27	51.255
866	15	20.385
867	10	23.213
868	6	12.728
869	4	8.485
870	21	46.426
871	5	11.314
872	14	18.728
873	4	11.314
874	4	11.314
875	4	8.243
876	41	59.841
877	5	8.485
878	5	11.071
879	10	16.142
880	11	18.971
881	5	9.899
882	6	11.071
883	4	11.314
884	7	13.314
885	5	11.899
886	10	14.142
887	6	11.314
888	9	17.556
889	5	9.899
890	4	10.485
891	3513	903.349
892	4	8.485
893	4	9.071
894	4	9.071
895	5	11.899
896	6	10.485
897	5	11.314
898	8	14.142
899	5	10.243
900	4	7.071
901	5	10.485
902	6	10.485
903	5	11.314
904	5	11.314
905	5	11.071
906	4	9.899
907	4	9.899
908	3639	860.095
909	10	20.385
910	6	10.485
911	16	17.556
912	8	16.142
913	567	271.546
914	5	8.485
915	5	9.657
916	5	10.485
917	10	18.142
918	701	334.316
919	7	15.314
920	9	14.728
921	6	13.314
