
Os valores de area e perimetro (em pixels) sao(foram ORDENADOS):


        AREA(pixel2)    PERIMETRO(pixel)
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.657
                   5              11.657
                   5              11.657
                   5              11.657
                   5              11.657
                   5              11.657
                   6              11.657
                   6              11.657
                   6              11.657
                   6              11.899
                   6              11.899
                   6              11.899
                   6              11.899
                   6              11.899
                   6              11.899
                   6              11.899
                   6              11.899
                   6              11.899
                   6              11.899
                   6              11.899
                   6              11.899
                   6              11.899
                   6              11.899
                   6              11.899
                   6              11.899
                   6              11.899
                   6              11.899
                   6              11.899
                   6              11.899
                   6              11.899
                   6              11.899
                   6              11.899
                   6              11.899
                   6              11.899
                   6              11.899
                   6              11.899
                   6              11.899
                   6              11.899
                   6              11.899
                   6              11.899
                   6              11.899
                   6              11.899
                   6              11.899
                   6              11.899
                   6              11.899
                   6              11.899
                   6              11.899
                   6              11.899
                   6              11.899
                   6              11.899
                   6              11.899
                   6              11.899
                   6              11.899
                   6              11.899
